# Reproduction command (with lincs version 1.1.0): lincs generate classified-alternatives problem.yml model.yml 2500 --random-seed 867960298 --misclassified-count 0
name,"Criterion 1","Criterion 2","Criterion 3","Criterion 4","Criterion 5",category
"Alternative 1",0.414055824,0.389444202,0.711241126,0.542589664,0.845024109,"Intermediate category 2"
"Alternative 2",0.0810542107,0.656843722,0.061782971,0.278755486,0.825437367,"Intermediate category 2"
"Alternative 3",0.311142683,0.62534076,0.160331935,0.208607808,0.160738066,"Worst category"
"Alternative 4",0.809233844,0.75436008,0.0840704069,0.610424459,0.679894567,"Intermediate category 2"
"Alternative 5",0.000598929822,0.508031189,0.854380906,0.998050451,0.512034714,"Intermediate category 2"
"Alternative 6",0.265541166,0.834807813,0.999803364,0.517125547,0.0488289371,"Intermediate category 3"
"Alternative 7",0.867527306,0.599027693,0.238582984,0.0816214085,0.625806868,"Intermediate category 1"
"Alternative 8",0.556990087,0.441194087,0.344327182,0.0156510994,0.700160563,"Intermediate category 2"
"Alternative 9",0.362784147,0.174730301,0.369773239,0.0738202035,0.392507166,"Worst category"
"Alternative 10",0.873003066,0.555380046,0.364512563,0.404728591,0.123966381,"Intermediate category 1"
"Alternative 11",0.535590768,0.698763371,0.647157311,0.300469071,0.411288679,"Intermediate category 2"
"Alternative 12",0.820974112,0.87784797,0.0953277797,0.215092093,0.83121103,"Intermediate category 2"
"Alternative 13",0.192549974,0.344432533,0.627846777,0.182516456,0.615157664,"Intermediate category 2"
"Alternative 14",0.669042826,0.121720701,0.474619806,0.274533778,0.192469582,"Worst category"
"Alternative 15",0.775062561,0.708560765,0.489608079,0.91916889,0.51177156,"Intermediate category 2"
"Alternative 16",0.381952345,0.139056593,0.207341433,0.113967814,0.147162825,"Worst category"
"Alternative 17",0.356027693,0.87362206,0.607938945,0.979075253,0.331813872,"Intermediate category 2"
"Alternative 18",0.184267163,0.770038009,0.680649579,0.479388416,0.491588891,"Intermediate category 2"
"Alternative 19",0.756422698,0.665444553,0.707447708,0.355092883,0.655374348,"Intermediate category 2"
"Alternative 20",0.23916398,0.504481196,0.0218856782,0.173712909,0.0304201618,"Worst category"
"Alternative 21",0.772359431,0.801897883,0.0833211243,0.360834807,0.522083104,"Intermediate category 1"
"Alternative 22",0.69115442,0.994151294,0.641135275,0.113833688,0.935112357,"Intermediate category 3"
"Alternative 23",0.123510443,0.426332891,0.595620811,0.148480356,0.0333941132,"Intermediate category 2"
"Alternative 24",0.0560902469,0.941829085,0.215687662,0.246050552,0.151788726,"Worst category"
"Alternative 25",0.657437027,0.0399766304,0.415369779,0.0508559085,0.137038365,"Worst category"
"Alternative 26",0.658772528,0.980212092,0.20717901,0.38600558,0.97640425,"Intermediate category 3"
"Alternative 27",0.774166822,0.206428319,0.416348577,0.291708767,0.220405072,"Worst category"
"Alternative 28",0.337281346,0.379681498,0.411353052,0.460882545,0.71317941,"Intermediate category 2"
"Alternative 29",0.00310848327,0.708754003,0.585671186,0.0312025398,0.430129886,"Intermediate category 2"
"Alternative 30",0.170094386,0.382205725,0.606417775,0.770822287,0.602819145,"Intermediate category 2"
"Alternative 31",0.461416036,0.946841419,0.0724625364,0.0156364497,0.274335712,"Worst category"
"Alternative 32",0.659918606,0.628656447,0.121153168,0.119072296,0.459644914,"Worst category"
"Alternative 33",0.225468397,0.553736806,0.293749481,0.857852161,0.314751774,"Worst category"
"Alternative 34",0.654750228,0.870621324,0.834186256,0.47214365,0.348217696,"Intermediate category 3"
"Alternative 35",0.0825964808,0.290897846,0.584588647,0.644575655,0.562753141,"Intermediate category 1"
"Alternative 36",0.200614914,0.140488803,0.761974752,0.320289403,0.117922314,"Worst category"
"Alternative 37",0.417873293,0.801924348,0.00753744133,0.453292638,0.814072788,"Intermediate category 2"
"Alternative 38",0.0405289941,0.776379168,0.28821218,0.14038676,0.126857594,"Worst category"
"Alternative 39",0.540474892,0.988862813,0.222860098,0.716263056,0.113119051,"Intermediate category 2"
"Alternative 40",0.540112138,0.998066723,0.488857269,0.232147023,0.643090308,"Intermediate category 1"
"Alternative 41",0.920509398,0.979705274,0.175436884,0.194449395,0.593561828,"Intermediate category 1"
"Alternative 42",0.88740623,0.549085498,0.967440903,0.830753326,0.630314887,"Intermediate category 2"
"Alternative 43",0.916795135,0.0152980257,0.774766147,0.366720796,0.443918496,"Worst category"
"Alternative 44",0.309148848,0.110508546,0.391870528,0.263934791,0.120706007,"Worst category"
"Alternative 45",0.969873905,0.711659491,0.287772387,0.819102407,0.365824819,"Intermediate category 2"
"Alternative 46",0.491117626,0.0770215243,0.0949872732,0.279863358,0.967795134,"Worst category"
"Alternative 47",0.781973898,0.774821579,0.153706461,0.677663505,0.936518848,"Intermediate category 2"
"Alternative 48",0.462224662,0.0215549618,0.53488934,0.614584982,0.109241366,"Worst category"
